# EoSType = ColdBetaYe
# Nrho=4000
# RhoMin=   0.161865E-09    RhoMax=   0.161865E-02
# RhoSpacing = Log
#  rho           eps             P              cs^2
   1.618653E-10  -9.414725E-03   3.112780E-14   2.645619E-04
   1.625190E-10  -9.413987E-03   3.129386E-14   2.648762E-04
   1.631754E-10  -9.413247E-03   3.146080E-14   2.651903E-04
   1.638344E-10  -9.412506E-03   3.162864E-14   2.655045E-04
   1.644961E-10  -9.411764E-03   3.179736E-14   2.658185E-04
   1.651604E-10  -9.411020E-03   3.196698E-14   2.661326E-04
   1.658275E-10  -9.410276E-03   3.213753E-14   2.664467E-04
   1.664972E-10  -9.409531E-03   3.230897E-14   2.667607E-04
   1.671696E-10  -9.408784E-03   3.248134E-14   2.670748E-04
   1.678447E-10  -9.408036E-03   3.265462E-14   2.673887E-04
   1.685226E-10  -9.407287E-03   3.282883E-14   2.677028E-04
   1.692032E-10  -9.406537E-03   3.300397E-14   2.680167E-04
   1.698866E-10  -9.405786E-03   3.318005E-14   2.683307E-04
   1.705727E-10  -9.405035E-03   3.335908E-14   2.686789E-04
   1.712616E-10  -9.404283E-03   3.353979E-14   2.690390E-04
   1.719532E-10  -9.403530E-03   3.372149E-14   2.693992E-04
   1.726477E-10  -9.402776E-03   3.390416E-14   2.697592E-04
   1.733450E-10  -9.402021E-03   3.408783E-14   2.701193E-04
   1.740451E-10  -9.401265E-03   3.427249E-14   2.704793E-04
   1.747480E-10  -9.400508E-03   3.445816E-14   2.708393E-04
   1.754537E-10  -9.399749E-03   3.464482E-14   2.711992E-04
   1.761623E-10  -9.398989E-03   3.483250E-14   2.715592E-04
   1.768738E-10  -9.398228E-03   3.502119E-14   2.719190E-04
   1.775881E-10  -9.397466E-03   3.521092E-14   2.722789E-04
   1.783053E-10  -9.396703E-03   3.540167E-14   2.726387E-04
   1.790254E-10  -9.395939E-03   3.559344E-14   2.729984E-04
   1.797485E-10  -9.395173E-03   3.578626E-14   2.733581E-04
   1.804744E-10  -9.394406E-03   3.598012E-14   2.737178E-04
   1.812033E-10  -9.393639E-03   3.617504E-14   2.740775E-04
   1.819351E-10  -9.392869E-03   3.637101E-14   2.744370E-04
   1.826699E-10  -9.392099E-03   3.656804E-14   2.747967E-04
   1.834076E-10  -9.391328E-03   3.676613E-14   2.751561E-04
